expression,desc,sharpe,fitness,turnover,sub_sharpe,returns,drawdown,margin,self_corr,settings
"ts_decay_linear(group_neutralize(ts_rank(news_max_up_ret, 60) / (ts_std_dev(rp_css_credit, 60) + 0.001), subindustry), 48)","",-0.55,-0.14,0.9119,-0.77,-0.057,0.4095,-0.000125,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(rp_css_credit, 252) / (ts_std_dev(news_tot_ticks, 252) + 0.001), subindustry), 30)","",0.63,0.19,1.7989,1.26,0.1705,0.3599,0.00019,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(news_mins_10_pct_dn, news_pct_5_min, 180, rettype=2), subindustry), 55)","",-0.11,-0.03,0.0523,-0.63,-0.0124,0.3597,-0.000475,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(news_pct_5_min, 140) / (ts_std_dev(rp_nip_assets, 140) + 0.001), subindustry), 20)","",0.48,0.12,1.2977,0.06,0.0772,0.2071,0.000119,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(news_max_up_ret, rp_css_credit, 220, rettype=2), subindustry), 45)","",-0.09,-0.04,0.0547,0.37,-0.0218,0.3923,-0.000797,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(rp_ess_revenue, news_tot_ticks, 110, rettype=2), subindustry), 37)","",-0.51,-0.32,0.0854,-0.39,-0.0496,0.3579,-0.001162,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(news_tot_ticks, 160) / (ts_std_dev(news_mins_10_pct_dn, 160) + 0.001), subindustry), 52)","",0.22,0.04,0.8268,0.4,0.0314,0.3415,7.6e-05,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(rp_css_assets, news_max_up_ret, 240, rettype=2), subindustry), 28)","",-0.23,-0.08,0.0441,-0.57,-0.016,0.1646,-0.000724,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(news_mins_10_pct_dn, 115) / (ts_std_dev(news_pct_5_min, 115) + 0.001), subindustry), 41)","",0.14,0.04,1.6687,-0.9,0.1287,1.7141,0.000154,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(rp_css_credit, news_tot_ticks, 135, rettype=2), subindustry), 25)","",-0.58,-0.37,0.0771,-0.12,-0.0516,0.3299,-0.001339,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
