expression,sharpe,fitness,turnover,sub_s,sc,category,suggestion
"ts_decay_linear(group_rank(ts_arg_max(rank(mdl177_2_surpriseanalystmodel_qsa_efficiency), 60), subindustry), 40)",1.54,0.97,0.0515,0.97,0.0,Peak Timing Momentum,GENERAL: Refine parameters
"-1 * (ts_decay_linear(group_neutralize(power(rank(mdl177_2_valuemomemtummodel_earningspricelinkmodule), 2) * rank(mdl77_earningmomentumfactor_mrspe), subindustry), 35))",1.36,0.99,0.0459,-0.82,0.0,Hybrid Nonlinear,GENERAL: Refine parameters
"ts_decay_linear(group_rank(ts_arg_max(rank(mdl177_2_momemtumanalystmodel_qma_eplinkage), 60), subindustry), 40)",1.28,0.84,0.0564,1.36,0.0,Peak Timing Momentum,GENERAL: Refine parameters
"ts_decay_linear(group_neutralize(rank(mdl177_2_growthanalystmodel_qga_opmarginsales), bucket(rank(anl4_netprofit_median), range='0,1,0.1')), 40)",1.24,0.71,0.0148,0.54,0.0,Expert Standard Hedge,BOOST: Try Cap-Bucketed neutralization
"ts_decay_linear(group_neutralize(rank(mdl177_earningsqualityfactor_ttmaccu_alt), bucket(rank(anl4_fcfps_median), range='0,1,0.1')), 40)",1.19,0.73,0.0155,0.72,0.0,Expert Standard Hedge,BOOST: Try Cap-Bucketed neutralization
"-1 * (ts_decay_linear(group_neutralize(rank(mdl177_pricemomentumfactor_visiratio), bucket(rank(anl4_gric_high), range='0,1,0.1')), 40))",1.13,0.74,0.1225,-0.99,0.0,Expert Standard Hedge,BOOST: Try Cap-Bucketed neutralization
"ts_decay_linear(group_neutralize(power(rank(mdl177_liquidityriskfactor_netcashp_alt), 2) * rank(mdl77_ohistoricalgrowthfactor_slope4qsales3y), subindustry), 35)",1.11,0.91,0.0124,0.52,0.0,Hybrid Nonlinear,BOOST: Try Cap-Bucketed neutralization
"ts_decay_linear(group_neutralize(rank(mdl77_liquidityriskfactor_netcashp), subindustry), 60)",1.06,0.93,0.0119,0.56,0.0,Model Rank (VS7),BOOST: Try Cap-Bucketed neutralization
"-1 * (ts_decay_linear(group_neutralize(power(rank(mdl177_2_earningmomentumfactor400_qepsferr), 2) * rank(mdl77_2400_irttmsalesev), subindustry), 35))",1.01,0.71,0.028,-0.62,0.0,Hybrid Nonlinear,BOOST: Try Cap-Bucketed neutralization
"-1 * (ts_decay_linear(group_neutralize(power(rank(mdl177_industryrrelativevaluefactor_curindsp_), 2) * rank(mdl177_historicalgrowthfactor_chgnpm_alt), subindustry), 35))",1.01,0.76,0.0203,-0.76,0.0,Hybrid Nonlinear,BOOST: Try Cap-Bucketed neutralization
