expression,sharpe,fitness,turnover,sub_s,sc,category,suggestion
"ts_decay_linear(group_neutralize(ts_corr(rank(close), rank(fnd6_dlcch), 10), subindustry), 20)",-0.35,-0.12,0.1734,-0.08,0.0,"Factor Correlation"
"ts_regression(rank(mdl77_2valuemomemtummodel_financialstatementmodule), rank(mdl77_valueanalystmodel_qva_mgtsignaling), 250, rettype=2)",-0.02,-0.0,0.1311,0.09,0.0,"Residual Orthogonal"
"ts_decay_linear(group_zscore(ts_std_dev(est_epsr, 20) / ts_mean(est_epsr, 20), subindustry), 40)",0.3,0.1,0.0859,0.24,0.0,"Analyst Dispersion"
"ts_decay_linear(ts_regression(rank(mdl177_valuemomemtummodel_managementsignalingmodule), rank(cap), 250, rettype=2) * rank(fn_oth_income_loss_available_for_sale_securities_adj_of_tax_q), 35)",0.23,0.07,0.0774,0.05,0.0,"Large-Cap Robust Hybrid"
"ts_decay_linear(group_zscore(ts_std_dev(min_net_income_guidance, 20) / ts_mean(min_net_income_guidance, 20), subindustry), 40)",0.09,0.02,0.1045,0.08,0.0,"Analyst Dispersion"
"ts_decay_linear(group_rank(ts_arg_max(rank(mdl77_ohistoricalgrowthfactor_y3fcfq4rqsr), 60), subindustry), 40)",0.8,0.32,0.0444,0.03,0.0,"Peak Timing Momentum"
"ts_decay_linear(group_zscore(ts_std_dev(cashflow_per_share_average, 20) / ts_mean(cashflow_per_share_average, 20), subindustry), 40)",0.11,0.02,0.0911,-0.15,0.0,"Analyst Dispersion"
"ts_decay_linear(ts_regression(rank(mdl77_2gdna_actrtn1m), rank(cap), 250, rettype=2) * rank(mdl177_earningmomentumfactor_y3sur), 35)",-0.54,-0.28,0.0772,-0.48,0.0,"Large-Cap Robust Hybrid"
"ts_regression(rank(mdl77_shortsentimentfactor_lend_supply), rank(mdl177_2_managementqualityfactor_min2yopmargin), 250, rettype=2)",0.65,0.32,0.1641,0.79,0.0,"Residual Orthogonal"
"ts_decay_linear(group_neutralize(ts_corr(rank(close), rank(mdl77_historicalgrowthfactor_pfcoghc), 10), subindustry), 20)",0.61,0.25,0.0926,0.16,0.0,"Factor Correlation"
"ts_regression(rank(implied_volatility_put_150), rank(mdl77_historicalgrowthfactor_fcghc), 250, rettype=2)",-0.41,-0.16,0.2624,-0.21,0.0,"Residual Orthogonal"
"ts_regression(rank(mdl77_2gdna_vefcfmtt), rank(fnd2_itxreexftfedstyitxrt), 250, rettype=2)",-0.42,-0.17,0.1443,-0.03,0.0,"Residual Orthogonal"
"ts_regression(rank(mdl77_pricemomentumfactor_volpre6m), rank(mdl77_pfcoghc), 250, rettype=2)",0.36,0.16,0.1602,-0.7,0.0,"Residual Orthogonal"
"ts_decay_linear(group_neutralize(ts_corr(rank(close), rank(mdl177_liquidityriskfactor_tobinq_alt), 10), subindustry), 20)",0.53,0.22,0.1184,0.08,0.0,"Factor Correlation"
